x_coord, y_coord,class
 6.50000, 0.00000,0
-6.50000,-0.00000,1
 6.31380, 1.25590,0
-6.31380,-1.25590,1
 5.88973, 2.43961,0
-5.88973,-2.43961,1
 5.24865, 3.50704,0
-5.24865,-3.50704,1
 4.41941, 4.41943,0
-4.41941,-4.41943,1
 3.43758, 5.14473,0
-3.43758,-5.14473,1
 2.34392, 5.65877,0
-2.34392,-5.65877,1
 1.18272, 5.94601,0
-1.18272,-5.94601,1
-0.00002, 6.00000,0
 0.00002,-6.00000,1
-1.15837, 5.82341,0
 1.15837,-5.82341,1
-2.24829, 5.42778,0
 2.24829,-5.42778,1
-3.22928, 4.83290,0
 3.22928,-4.83290,1
-4.06589, 4.06584,0
 4.06589,-4.06584,1
-4.72900, 3.15978,0
 4.72900,-3.15978,1
-5.19684, 2.15256,0
 5.19684,-2.15256,1
-5.45563, 1.08515,0
 5.45563,-1.08515,1
-5.50000,-0.00004,0
 5.50000, 0.00004,1
-5.33301,-1.06085,0
 5.33301, 1.06085,1
-4.96584,-2.05696,0
 4.96584, 2.05696,1
-4.41716,-2.95151,0
 4.41716, 2.95151,1
-3.71228,-3.71234,0
 3.71228, 3.71234,1
-2.88198,-4.31328,0
 2.88198, 4.31328,1
-1.96120,-4.73490,0
 1.96120, 4.73490,1
-0.98759,-4.96524,0
 0.98759, 4.96524,1
 0.00006,-5.00000,0
-0.00006, 5.00000,1
 0.96331,-4.84262,0
-0.96331, 4.84262,1
 1.86564,-4.50389,0
-1.86564, 4.50389,1
 2.67373,-4.00141,0
-2.67373, 4.00141,1
 3.35880,-3.35871,0
-3.35880, 3.35871,1
 3.89755,-2.60418,0
-3.89755, 2.60418,1
 4.27297,-1.76985,0
-4.27297, 1.76985,1
 4.47485,-0.89004,0
-4.47485, 0.89004,1
 4.50000, 0.00007,0
-4.50000,-0.00007,1
 4.35222, 0.86578,0
-4.35222,-0.86578,1
 4.04195, 1.67430,0
-4.04195,-1.67430,1
 3.58567, 2.39595,0
-3.58567,-2.39595,1
 3.00515, 3.00525,0
-3.00515,-3.00525,1
 2.32639, 3.48182,0
-2.32639,-3.48182,1
 1.57850, 3.81103,0
-1.57850,-3.81103,1
 0.79248, 3.98445,0
-0.79248,-3.98445,1
-0.00007, 4.00000,0
 0.00007,-4.00000,1
-0.76824, 3.86183,0
 0.76824,-3.86183,1
-1.48297, 3.58000,0
 1.48297,-3.58000,1
-2.11817, 3.16994,0
 2.11817,-3.16994,1
-2.65170, 2.65160,0
 2.65170,-2.65160,1
-3.06609, 2.04860,0
 3.06609,-2.04860,1
-3.34909, 1.38716,0
 3.34909,-1.38716,1
-3.49406, 0.69493,0
 3.49406,-0.69493,1
-3.50000,-0.00008,0
 3.50000, 0.00008,1
-3.37143,-0.67070,0
 3.37143, 0.67070,1
-3.11806,-1.29163,0
 3.11806, 1.29163,1
-2.75420,-1.84039,0
 2.75420, 1.84039,1
-2.29804,-2.29815,0
 2.29804, 2.29815,1
-1.77082,-2.65035,0
 1.77082, 2.65035,1
-1.19581,-2.88715,0
 1.19581, 2.88715,1
-0.59739,-3.00367,0
 0.59739, 3.00367,1
 0.00008,-3.00000,0
-0.00008, 3.00000,1
 0.57315,-2.88104,0
-0.57315, 2.88104,1
 1.10029,-2.65612,0
-1.10029, 2.65612,1
 1.56260,-2.33847,0
-1.56260, 2.33847,1
 1.94460,-1.94449,0
-1.94460, 1.94449,1
 2.23462,-1.49303,0
-2.23462, 1.49303,1
 2.42521,-1.00447,0
-2.42521, 1.00447,1
 2.51328,-0.49985,0
-2.51328, 0.49985,1
 2.50000, 0.00007,0
-2.50000,-0.00007,1
 2.39065, 0.47560,0
-2.39065,-0.47560,1
 2.19419, 0.90894,0
-2.19419,-0.90894,1
 1.92273, 1.28482,0
-1.92273,-1.28482,1
 1.59094, 1.59104,0
-1.59094,-1.59104,1
 1.21525, 1.81888,0
-1.21525,-1.81888,1
 0.81314, 1.96327,0
-0.81314,-1.96327,1
 0.40231, 2.02288,0
-0.40231,-2.02288,1
-0.00007, 2.00000,0
 0.00007,-2.00000,1
-0.37805, 1.90026,0
 0.37805,-1.90026,1
-0.71759, 1.73225,0
 0.71759,-1.73225,1
-1.00702, 1.50700,0
 1.00702,-1.50700,1
-1.23748, 1.23739,0
 1.23748,-1.23739,1
-1.40314, 0.93748,0
 1.40314,-0.93748,1
-1.50133, 0.62181,0
 1.50133,-0.62181,1
-1.53249, 0.30477,0
 1.53249,-0.30477,1
-1.50000,-0.00006,0
 1.50000, 0.00006,1
-1.40987,-0.28049,0
 1.40987, 0.28049,1
-1.27031,-0.52624,0
 1.27031, 0.52624,1
-1.09128,-0.72923,0
 1.09128, 0.72923,1
-0.88385,-0.88392,0
 0.88385, 0.88392,1
-0.65970,-0.98740,0
 0.65970, 0.98740,1
-0.43048,-1.03938,0
 0.43048, 1.03938,1
-0.20724,-1.04209,0
 0.20724, 1.04209,1
 0.00004,-1.00000,0
-0.00004, 1.00000,1
 0.18293,-0.91948,0
-0.18293, 0.91948,1
 0.33488,-0.80838,0
-0.33488, 0.80838,1
 0.45143,-0.67555,0
-0.45143, 0.67555,1
 0.53035,-0.53031,0
-0.53035, 0.53031,1
 0.57165,-0.38193,0
-0.57165, 0.38193,1
 0.57744,-0.23915,0
-0.57744, 0.23915,1
 0.55170,-0.10971,0
-0.55170, 0.10971,1
 0.50000, 0.00002,0
-0.50000,-0.00002,1
